City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Hobart,-42.8794,147.3294,51.66,94,100,4.61,AU,1660502765
Lavrentiya,65.5833,-171.0,39.34,72,36,6.46,RU,1660502766
Avarua,-21.2078,-159.775,69.85,88,100,3.44,CK,1660502556
Arraial do Cabo,-22.9661,-42.0278,76.96,64,0,25.32,BR,1660502766
Ouadda,8.0777,22.4007,68.16,96,100,2.93,CF,1660502767
Coahuayana Viejo,18.7333,-103.6833,89.1,61,39,7.16,MX,1660502767
Saint-Philippe,-21.3585,55.7679,67.21,78,51,18.37,RE,1660502767
Mossamedes,-15.1961,12.1522,62.37,93,24,9.15,AO,1660502768
Aklavik,68.2191,-135.0107,48.2,87,100,9.22,CA,1660502768
Nikolskoye,59.7035,30.7861,66.09,61,4,4.63,RU,1660502769
Vostok,46.4856,135.8833,54.21,97,100,2.77,RU,1660502769
Calderitas,18.55,-88.25,85.19,69,100,7.31,MX,1660502769
Sunndalsøra,62.6754,8.5515,66.7,87,76,2.42,NO,1660502770
Shimoda,34.6667,138.95,81.1,89,16,16.06,JP,1660502770
Vaini,-21.2,-175.2,69.96,83,75,12.66,TO,1660502770
Port Elizabeth,-33.918,25.5701,52.11,91,20,23.02,ZA,1660502771
Narsaq,60.9167,-46.05,59.22,86,47,6.98,GL,1660502771
North Platte,41.1239,-100.7654,82.29,54,0,4.61,US,1660502614
Ust'-Koksa,50.2696,85.6108,48.9,85,0,1.28,RU,1660502772
Zamora,-4.0692,-78.9567,90.64,47,48,5.32,EC,1660502772
Muzhi,65.3667,64.6667,48.4,61,91,12.39,RU,1660502772
Cabra,37.4725,-4.4421,89.65,19,1,1.01,ES,1660502773
Puerto Escondido,15.85,-97.0667,86.94,60,99,6.4,MX,1660502691
Upernavik,72.7868,-56.1549,45.25,68,100,3.8,GL,1660502773
Bentong,3.5181,101.9079,73.51,95,69,1.03,MY,1660502774
Constitución,-35.3333,-72.4167,53.22,74,100,12.84,CL,1660502774
San Quintín,30.4833,-115.95,77.41,67,1,8.66,MX,1660502772
Gigmoto,13.7796,124.39,79.48,86,100,8.46,PH,1660502775
George Town,5.4112,100.3354,84.13,86,40,5.01,MY,1660502775
Port Alfred,-33.5906,26.891,54.97,71,42,34.69,ZA,1660502775
Yar-Sale,66.8333,70.8333,46.36,63,100,18.07,RU,1660502776
Leshukonskoye,64.8989,45.7622,57.4,72,100,4.68,RU,1660502776
Atambua,-9.1061,124.8925,68.92,87,48,5.21,ID,1660502777
Caravelas,-17.7125,-39.2481,74.21,52,1,8.32,BR,1660502777
San Cristobal,7.7669,-72.225,82.58,58,36,7.14,VE,1660502777
Sitka,57.0531,-135.33,58.89,88,100,4.61,US,1660502778
Leningradskiy,69.3833,178.4167,36.03,78,79,2.71,RU,1660502778
Sandnessjøen,66.0217,12.6316,64.92,82,20,3.44,NO,1660502779
Castro,-24.7911,-50.0119,70.88,51,5,6.62,BR,1660502779
Esim,4.8699,-2.2405,75.29,87,80,13.0,GH,1660502779
Muroto-misakicho,33.2833,134.15,83.23,84,16,10.16,JP,1660502780
Dābhol,17.6,73.1667,76.48,91,100,10.27,IN,1660502780
Wucheng,29.6008,118.175,81.63,71,100,1.74,CN,1660502781
Berbera,10.4396,45.0143,91.42,51,90,11.59,SO,1660502781
Hithadhoo,-0.6,73.0833,82.76,70,100,3.58,MV,1660502781
Cam Ranh,11.9214,109.1591,80.56,78,75,3.44,VN,1660502782
Pozo Colorado,-23.4923,-58.7972,98.42,21,4,16.62,PY,1660502782
Perni,41.0011,24.6356,74.46,78,20,4.61,GR,1660502782
Fortuna,40.5982,-124.1573,63.99,92,100,9.22,US,1660502783
Adrar,20.5022,-10.0711,104.04,17,3,8.84,MR,1660502783
Mount Darwin,-16.7725,31.5838,64.9,35,0,3.2,ZW,1660502783
Gao,16.6362,1.637,103.89,13,99,6.53,ML,1660502784
Nuuk,64.1835,-51.7216,47.88,87,100,24.0,GL,1660502784
Mar del Plata,-38.0023,-57.5575,57.22,90,75,14.97,AR,1660502785
Spassk-Ryazanskiy,54.4072,40.3806,65.34,59,100,7.36,RU,1660502785
Lexington,37.9887,-84.4777,84.69,49,75,13.8,US,1660502214
Dongsheng,39.8161,109.9776,70.56,52,79,6.51,CN,1660502785
Cumbitara,1.6517,-77.5823,70.92,61,39,6.42,CO,1660502786
Les Cayes,18.2,-73.75,84.9,69,60,9.15,HT,1660502786
Vila,42.0304,-8.1588,65.7,53,0,4.68,PT,1660502786
Saint Paul Harbor,57.79,-152.4072,53.11,94,100,0.0,US,1660502787
Carahue,-38.7,-73.1667,44.33,89,100,9.86,CL,1660502787
Ancud,-41.8697,-73.8203,45.5,67,38,16.84,CL,1660502787
Conneaut,41.9476,-80.5542,79.14,52,92,4.25,US,1660502788
Martapura,-3.4167,114.85,75.29,94,100,3.44,ID,1660502788
Rocha,-34.4833,-54.3333,69.58,69,37,12.12,UY,1660502789
Feira de Santana,-12.2667,-38.9667,72.43,74,100,11.99,BR,1660502789
Hambantota,6.1241,81.1185,79.14,100,20,3.44,LK,1660502789
Dunmore Town,25.5,-76.65,83.32,70,12,7.58,BS,1660502790
Petropavlovsk-Kamchatskiy,53.0452,158.6483,55.99,100,100,4.47,RU,1660502790
Christchurch,-43.5333,172.6333,32.47,93,100,1.14,NZ,1660502752
Vasil'yevo,55.836,48.6582,66.87,65,22,2.42,RU,1660502791
Aksu,41.1231,80.2644,82.22,36,54,2.64,CN,1660502791
Breves,-1.6822,-50.4803,93.85,35,28,6.04,BR,1660502791
Skellefteå,64.7507,20.9528,63.0,88,0,3.44,SE,1660502792
Onguday,50.75,86.15,51.12,87,2,3.29,RU,1660502792
Naruja,41.9069,41.9542,77.32,94,29,1.86,GE,1660502792
Timberlake,37.3207,-79.2575,80.56,59,40,6.91,US,1660502793
Manta,-0.95,-80.7333,83.98,65,40,9.22,EC,1660502793
Rāvar,31.2656,56.8055,85.15,10,60,9.98,IR,1660502793
Baghdad,33.3406,44.4009,91.31,25,0,5.75,IQ,1660502794
Ponta do Sol,32.6667,-17.1,78.01,77,0,2.86,PT,1660502794
Mayo,38.8876,-76.5119,86.2,48,0,8.05,US,1660502523
Esperance,-33.8667,121.9,50.58,84,0,7.54,AU,1660502794
Broome,42.2506,-75.833,85.62,33,75,4.0,US,1660502795
Grindavik,63.8424,-22.4338,55.35,66,20,16.11,IS,1660502795
Cidreira,-30.1811,-50.2056,63.55,83,90,12.93,BR,1660502795
Bethel,41.3712,-73.414,84.04,43,75,1.01,US,1660502796
Yashkino,55.8736,85.4265,51.04,97,98,10.4,RU,1660502796
Longyearbyen,78.2186,15.6401,44.44,81,75,8.05,SJ,1660502797
Kalispell,48.1958,-114.3129,79.29,32,0,6.91,US,1660502551
Klaksvík,62.2266,-6.589,54.52,85,78,3.67,FO,1660502797
Kruisfontein,-34.0033,24.7314,49.89,67,100,24.96,ZA,1660502797
Arlit,18.7369,7.3853,103.64,12,99,5.37,NE,1660502798
Port Macquarie,-31.4333,152.9167,40.89,77,0,6.73,AU,1660502798
Fernie,49.5,-115.0687,77.09,27,0,5.97,CA,1660502798
Melfi,40.9965,15.6514,68.49,62,0,2.64,IT,1660502799
Mogadouro,41.3403,-6.7119,75.25,37,90,10.8,PT,1660502570
Ouahigouya,13.5828,-2.4216,83.14,67,100,9.15,BF,1660502799
Garwolin,51.8975,21.6147,73.71,84,54,1.99,PL,1660502800
Chokurdakh,70.6333,147.9167,36.86,74,20,5.57,RU,1660502800
Luena,-11.7833,19.9167,61.54,25,13,2.15,AO,1660502800
Taitung City,22.7583,121.1444,80.98,83,100,4.59,TW,1660502801
Sørkjosen,69.8,20.9333,50.0,81,0,3.44,NO,1660502801
Taltal,-25.4,-70.4833,60.1,70,16,7.09,CL,1660502801
Hollins,37.3413,-79.9431,80.11,57,75,5.75,US,1660502802
Villaviciosa,43.4813,-5.4357,70.61,80,19,6.53,ES,1660502802
Nizhneangarsk,55.7833,109.55,52.52,74,100,1.77,RU,1660502802
Alugan,12.2188,125.4808,77.31,87,100,7.16,PH,1660502803
Rafaela,-31.2503,-61.4867,87.01,32,5,3.0,AR,1660502803
Porto-Novo,6.4965,2.6036,75.02,93,100,12.64,BJ,1660502622
Salta,-24.7859,-65.4117,83.57,20,0,8.01,AR,1660502803
Guerrero Negro,27.9769,-114.0611,84.61,47,9,11.74,MX,1660502506
Nishihara,26.1842,127.7558,82.45,83,75,12.66,JP,1660502804
Carnarvon,-24.8667,113.6333,66.69,74,74,7.11,AU,1660502804
Batang Berjuntai,3.3833,101.4167,78.85,93,68,3.78,MY,1660502805
Kailua,21.4022,-157.7394,82.65,64,40,12.66,US,1660502795
Mehamn,71.0357,27.8492,49.95,81,75,19.57,NO,1660502805
Khatanga,71.9667,102.5,49.24,62,41,5.3,RU,1660502805
Kaitangata,-46.2817,169.8464,37.76,94,95,5.14,NZ,1660502806
Lethem,3.3803,-59.7968,91.45,62,40,16.11,GY,1660502806
Sur,22.5667,59.5289,89.38,58,12,11.77,OM,1660502806
Ugoofaaru,5.6667,73.0,81.28,78,100,11.07,MV,1660502807
Haines Junction,60.7522,-137.5108,60.75,63,100,5.75,CA,1660502659
Susaki,33.3667,133.2833,78.62,87,74,3.38,JP,1660502807
Majene,-3.5403,118.9707,76.78,86,19,8.52,ID,1660502807
Hofn,64.2539,-15.2082,49.51,74,72,12.33,IS,1660502808
Touho,-20.7833,165.2333,73.9,84,42,9.69,NC,1660502808
Faya,18.3851,42.4509,68.11,73,100,5.1,SA,1660502808
Beringovskiy,63.05,179.3167,49.62,76,99,5.97,RU,1660502809
Ganzhou,28.8184,115.4327,83.88,63,100,3.67,CN,1660502809
Bitung,1.4451,125.1824,76.05,83,100,10.6,ID,1660502809
Bengkulu,-3.8004,102.2655,76.21,92,100,5.32,ID,1660502810
Valparaíso,-33.0393,-71.6273,58.64,100,75,10.36,CL,1660502573
Morgan City,29.6994,-91.2068,92.01,51,0,4.83,US,1660502732
Vestmannaeyjar,63.4427,-20.2734,54.59,76,0,14.97,IS,1660502811
Cabo San Lucas,22.8909,-109.9124,94.6,71,40,11.5,MX,1660502096
Ochsenfurt,49.6643,10.0623,83.84,50,97,10.38,DE,1660502811
Hay River,60.8156,-115.7999,76.89,44,0,5.93,CA,1660502728
Talcahuano,-36.7167,-73.1167,49.68,87,100,16.11,CL,1660502715
Ubari,26.5921,12.7805,89.73,15,0,13.49,LY,1660502812
Flinders,-34.5833,150.8552,55.26,61,26,4.0,AU,1660502812
Guilin,25.2819,110.2864,77.11,86,93,0.47,CN,1660502812
Laguna,38.421,-121.4238,93.09,36,0,1.99,US,1660502813
Husavik,66.0449,-17.3389,44.67,77,91,16.6,IS,1660502813
Mareeba,-17.0,145.4333,60.44,90,11,2.01,AU,1660502813
Port-Gentil,-0.7193,8.7815,75.16,83,75,9.22,GA,1660502814
Lang Son,21.8333,106.7333,75.18,95,70,2.13,VN,1660502814
Marawi,7.9986,124.2928,68.72,89,100,4.85,PH,1660502814
Kununurra,-15.7667,128.7333,60.78,72,22,3.44,AU,1660502799
Zhirnov,48.1709,41.1261,86.58,19,100,23.62,RU,1660502815
Haimen,23.1935,116.6142,80.49,83,12,3.69,CN,1660502815
Yeysk,46.6989,38.2792,84.31,41,93,8.84,RU,1660502816
Melo,-32.3667,-54.1833,72.32,73,0,10.76,UY,1660502816
Wuning,29.2589,120.2311,77.92,77,81,4.41,CN,1660502816
Abhā,18.2164,42.5053,67.82,88,0,5.75,SA,1660502817
Elbistan,38.2059,37.1983,76.66,59,0,5.5,TR,1660502817
Lebu,-37.6167,-73.65,47.07,79,100,13.91,CL,1660502817
Terrace,54.5163,-128.6035,64.31,72,100,9.22,CA,1660502818
Timrå,62.487,17.3257,62.28,82,75,3.44,SE,1660502818
Peachland,49.7665,-119.7357,83.77,39,21,3.0,CA,1660502819
Fallon,39.4735,-118.7774,89.92,11,20,4.61,US,1660502819
Zhongxing,33.7039,118.6792,82.74,69,100,7.4,CN,1660502819
Necochea,-38.5473,-58.7368,65.53,66,100,8.43,AR,1660502799
Katsuura,35.1333,140.3,80.33,88,81,17.2,JP,1660502820
Mildura,-34.2,142.15,49.06,91,100,7.96,AU,1660502820
Pacifica,37.6138,-122.4869,86.61,77,20,3.44,US,1660502820
Lorengau,-2.0226,147.2712,80.1,68,100,5.77,PG,1660502821
Pāsighāt,28.0667,95.3333,76.68,96,22,2.59,IN,1660502821
Provideniya,64.3833,-173.3,44.91,60,16,1.57,RU,1660502821
Kitimat,54.0524,-128.6534,64.78,23,100,1.05,CA,1660502822
Springbok,-29.6643,17.8865,44.49,61,36,5.59,ZA,1660502822
Luanda,-8.8368,13.2343,69.8,83,39,4.61,AO,1660502822
Suntar,62.1444,117.6319,46.69,95,25,3.24,RU,1660502823
Saint George,37.1041,-113.5841,92.25,39,0,1.99,US,1660502823
Bima,-8.4667,118.7167,73.65,93,20,3.42,ID,1660502824
Venado Tuerto,-33.7456,-61.9688,79.3,41,100,14.18,AR,1660502824
Vila Franca do Campo,37.7167,-25.4333,79.21,82,22,8.3,PT,1660502824
Goderich,43.7501,-81.7165,71.92,64,100,10.36,CA,1660502826
Olafsvik,64.8945,-23.7142,50.0,61,24,11.27,IS,1660502826
Pisco,-13.7,-76.2167,64.02,82,20,10.36,PE,1660502827
Ternate,0.8,127.4,79.9,81,100,1.97,ID,1660502827
Mumford,5.2618,-0.759,73.87,88,82,20.18,GH,1660502827
Kuril'sk,45.2333,147.8833,58.5,98,100,10.71,RU,1660502828
Pangani,-5.4333,38.9667,73.65,82,42,7.76,TZ,1660502828
Nouakchott,18.0858,-15.9785,85.93,78,4,13.22,MR,1660502828
Nouadhibou,20.931,-17.0347,80.58,65,6,13.8,MR,1660502829
Basoko,1.2391,23.616,72.03,94,100,0.92,CD,1660502829
Badvel,14.75,79.05,82.81,65,100,13.87,IN,1660502829
Khani,41.9563,42.9566,69.37,81,1,3.2,GE,1660502830
Nakapiripirit,1.9167,34.7833,68.29,79,83,1.25,UG,1660502830
Güstrow,53.7972,12.1734,75.07,56,75,10.36,DE,1660502831
Santa Marta,11.2408,-74.199,86.05,74,40,5.75,CO,1660502649
Mīāndoāb,36.9694,46.1027,82.78,18,0,5.39,IR,1660502831
Vao,-22.6667,167.4833,72.54,82,99,23.73,NC,1660502831
East London,-33.0153,27.9116,56.34,50,0,23.02,ZA,1660502832
Qinzhou,21.95,108.6167,80.94,87,88,4.79,CN,1660502832
Bundibugyo,0.7414,30.0417,68.36,95,93,1.95,UG,1660502832
Puerto Ayora,-0.7393,-90.3518,80.56,90,97,8.99,EC,1660502833
Vyshneve,50.3891,30.3705,74.16,80,100,11.63,UA,1660502833
Yangi Marg`ilon,40.4272,71.7189,79.52,41,0,6.91,UZ,1660502834
Teknāf,20.8624,92.3058,77.59,91,100,8.81,BD,1660502834
Lata,40.1629,-8.3327,67.42,68,8,8.59,PT,1660502834
Masuguru,-11.3667,38.4167,77.77,54,100,9.84,TZ,1660502835
Nikolayevsk-on-Amur,53.1406,140.73,54.9,95,37,1.54,RU,1660502835
Umm Kaddadah,13.6017,26.6876,79.16,63,5,14.7,SD,1660502835
Salalah,17.0151,54.0924,75.29,100,100,8.05,OM,1660502836
Nizhniy Kuranakh,58.8353,125.4869,52.7,98,100,4.34,RU,1660502836
Tilichiki,60.4667,166.1,53.78,97,100,5.66,RU,1660502836
Kumul,42.8,93.45,80.46,22,0,10.51,CN,1660502837
Geraldton,-28.7667,114.6,48.61,93,0,14.97,AU,1660502837
Ladário,-19.0047,-57.6017,97.09,26,0,11.5,BR,1660502837
Cedar City,37.6775,-113.0619,79.39,57,0,3.44,US,1660502772
Kalabo,-14.97,22.6814,68.63,19,2,2.04,ZM,1660502838
Sibu,2.3,111.8167,73.71,94,40,0.0,MY,1660502838
Bastrop,32.7562,-91.8724,92.7,41,6,6.33,US,1660502692
Bambous Virieux,-20.3428,57.7575,70.05,73,75,14.97,MU,1660502839
Hare Bay,48.8499,-54.0148,73.0,75,89,10.42,CA,1660502839
Dhārchula,29.85,80.5333,71.8,97,100,1.12,IN,1660502839
Hapao,16.8797,121.016,67.98,98,82,0.45,PH,1660502840
Sola,-13.8833,167.55,74.07,100,52,3.44,VU,1660502840
Williams Lake,52.1415,-122.1445,77.05,40,75,6.91,CA,1660502541
Caracolí,6.4119,-74.7606,87.01,49,39,4.81,CO,1660502841
Weligama,5.9667,80.4167,78.31,89,42,10.09,LK,1660502841
Banda Aceh,5.5577,95.3222,80.2,78,100,7.09,ID,1660502841
Alice Springs,-23.7,133.8833,44.15,42,0,6.91,AU,1660502758
Pagudpud,18.5616,120.7868,80.26,83,100,5.68,PH,1660502842
Koslan,63.4564,48.8989,50.65,68,50,4.94,RU,1660502842
Riviere-au-Renard,48.9957,-64.3971,68.29,94,100,7.67,CA,1660502843
Natal,-5.795,-35.2094,84.42,61,40,21.85,BR,1660502635
Coyhaique,-45.5752,-72.0662,40.95,56,100,3.44,CL,1660502843
Kutum,14.2,24.6667,75.18,70,14,8.46,SD,1660502843
Nemuro,43.3236,145.575,63.79,92,84,3.49,JP,1660502844
Pevek,69.7008,170.3133,32.81,85,100,11.48,RU,1660502844
Nānākuli,21.3906,-158.1547,82.62,59,0,6.91,US,1660502844
Tautira,-17.7333,-149.15,77.43,78,19,14.58,PF,1660502845
Bintulu,3.1667,113.0333,75.61,94,20,0.0,MY,1660502845
Belyy Yar,53.6039,91.3903,62.49,67,0,11.18,RU,1660502846
Morehead,37.2711,-87.1764,85.86,55,40,10.36,US,1660502846
Texarkana,33.4251,-94.0477,93.83,54,0,4.61,US,1660502341
Kala Nera,39.3063,23.12,75.18,66,58,6.53,GR,1660502846
Brownsville,25.9018,-97.4975,87.78,80,75,18.41,US,1660502818
Kabalo,-6.05,26.9167,84.58,39,96,3.24,CD,1660502847
Launceston,-41.45,147.1667,51.33,87,100,14.97,AU,1660502728
Sungai Penuh,-2.0833,101.3833,64.9,97,90,2.37,ID,1660502847
Cuamba,-14.8031,36.5372,72.23,36,0,4.54,MZ,1660502848
Isiro,2.7739,27.616,65.68,99,100,2.46,CD,1660502848
Dilla,6.41,38.31,63.82,86,100,3.67,ET,1660502848
Hong Kong,22.2855,114.1577,85.32,86,22,4.0,HK,1660502439
Trelew,-43.249,-65.3051,57.47,28,20,20.71,AR,1660502849
Korla,41.7597,86.1469,82.0,30,0,4.72,CN,1660502849
Vågåmo,61.8751,9.0967,68.5,59,100,9.04,NO,1660502849
Mackay,-21.15,149.2,51.67,49,0,6.78,AU,1660502850
Yelizovo,53.1873,158.3805,57.34,100,100,4.47,RU,1660502850
Amarante do Maranhão,-5.5667,-46.7422,96.37,18,8,6.15,BR,1660502851
Saint-Pierre,-21.3393,55.4781,68.92,77,20,4.61,RE,1660502851
Épinal,48.1833,6.45,71.15,95,83,6.6,FR,1660502694
Aquidauana,-20.4711,-55.7872,95.56,17,5,10.89,BR,1660502851
Ust'-Ilimsk,58.0006,102.6619,53.64,83,99,5.5,RU,1660502852
Yatou,37.15,122.3833,80.31,93,100,13.22,CN,1660502852
Gold Coast,-28.0,153.4333,45.16,93,0,9.22,AU,1660502852
Manggar,-2.8833,108.2667,79.59,82,78,3.76,ID,1660502853
Camacha,33.0833,-16.3333,71.02,73,20,11.5,PT,1660502853
Kohtla-Järve,59.3986,27.2731,66.09,75,33,6.33,EE,1660502853
Mae Sai,20.4335,99.8762,72.12,97,91,2.13,TH,1660502854
Panalingaan,8.7842,117.4231,75.76,87,100,2.19,PH,1660502854
Aswān,24.0934,32.907,97.9,14,0,6.91,EG,1660502854
Passy,45.9203,6.6877,69.82,83,37,1.63,FR,1660502855
Maragogi,-9.0122,-35.2225,77.31,71,85,11.43,BR,1660502855
Coromandel,-18.4733,-47.2003,79.75,26,0,7.16,BR,1660502855
Erciş,39.0287,43.3586,72.48,35,0,2.21,TR,1660502856
Portree,57.4129,-6.1942,58.51,91,100,4.74,GB,1660502856
Sirte,31.2089,16.5887,87.35,42,0,7.0,LY,1660502857
Evensk,61.95,159.2333,54.7,89,12,0.92,RU,1660502857
Znamenskoye,57.1281,73.8282,49.8,96,16,7.72,RU,1660502857
Iqaluit,63.7506,-68.5145,43.7,87,100,10.0,CA,1660502858
Pacific Grove,36.6177,-121.9166,73.2,84,40,6.91,US,1660502858
Impfondo,1.6381,18.0667,75.88,65,96,0.38,CG,1660502859
Abulug,18.4453,121.4533,79.0,90,100,9.78,PH,1660502859
Champerico,14.3,-91.9167,90.14,71,100,7.23,GT,1660502859
Teya,60.3778,92.6267,53.56,99,100,4.09,RU,1660502860
Price,39.5994,-110.8107,82.11,56,100,12.66,US,1660502860
Siniscola,40.5719,9.6922,83.75,77,2,8.05,IT,1660502860
Muros,42.7762,-9.0603,66.83,87,6,2.64,ES,1660502861
Lüderitz,-26.6481,15.1594,55.72,62,8,18.07,NA,1660502861
Poum,-20.2333,164.0167,74.41,84,100,13.18,NC,1660502861
Kumëny,58.1089,49.9161,57.51,81,3,3.67,RU,1660502862
Yate,51.5407,-2.4184,88.99,30,100,4.0,GB,1660502862
